15 15 100
68/12 2/9 49/11 9/14 79/12 77/1 32/7 37/10 29/15 82/10 34/15 93/5 97/10 24/14 91/8 
9/5 14/11 18/15 3/8 98/1 50/11 56/1 12/9 87/12 68/6 22/3 55/1 82/13 47/2 96/2 
32/10 47/12 67/11 11/9 46/15 2/7 37/2 79/11 1/1 92/3 38/5 73/2 30/4 94/7 63/2 
65/14 98/13 42/14 31/13 84/11 64/15 22/6 94/15 53/4 17/14 13/4 61/10 97/15 91/3 18/10 
84/13 50/6 45/1 96/10 95/1 2/9 68/5 11/1 75/13 6/3 58/8 49/13 55/2 60/7 39/2 
1/14 11/15 6/8 92/13 34/12 84/6 97/6 10/9 63/6 73/8 31/7 37/14 100/1 75/1 39/11 
87/14 91/8 40/4 5/4 1/8 70/14 25/3 86/15 28/15 22/15 67/12 81/6 82/2 46/9 42/5 
26/11 75/11 30/7 64/1 50/7 23/1 100/5 88/8 34/5 89/7 66/6 59/1 11/5 30/8 48/3 
44/8 3/6 41/7 37/1 17/6 72/7 8/4 91/15 13/6 61/1 82/13 56/7 75/8 32/14 78/1 
27/3 56/6 43/11 65/11 51/11 16/10 24/5 98/11 69/15 41/6 10/5 58/13 66/8 87/14 88/4 
80/6 89/7 47/13 82/1 14/4 43/1 10/4 56/2 84/1 16/7 9/8 51/8 95/13 2/1 17/5 
97/3 55/2 34/6 19/2 63/14 2/8 65/2 76/5 18/9 47/11 87/10 15/9 73/14 57/9 41/10 
63/9 72/15 77/12 22/1 23/10 79/1 42/5 87/4 66/12 27/13 94/11 67/8 54/1 68/10 65/10 
86/14 1/7 48/12 13/2 24/7 58/10 63/11 49/1 19/15 57/2 79/10 62/10 9/8 36/6 29/12 
88/5 30/3 71/15 64/6 3/10 74/10 94/11 62/9 37/10 60/15 28/3 95/7 35/10 9/15 83/7 
